fecha,marca,local,canal,id_orden,estado_orden,subtotal,impuesto,descuento
2023-11-02 22:34:25,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,M56J1RG1,Entregado,"16,9",0,0
2023-11-02 22:32:27,Tepuy Burger,Tepuy Burger - Benidorm,glovo,BXVJAQHE,Entregado,"40,9",0,0
2023-11-02 22:29:01,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,80AB4,Entregado,"31,4",0,"-13,9"
2023-11-02 22:28:56,Umbrella SH,Goleta,gloria-foods,777776357,Nuevo,"22,5",0,0
2023-11-02 22:28:20,Tepuy Burger,Tepuy Burger - Calle Bazan,glovo,ABUGGFKZ,Cancelado,"20,4",0,0
2023-11-02 22:24:03,Umbrella SH,Umbrella SH - Calle Linares,ubereats,AF5D3,Nuevo,"40,1",0,"-13,9"
2023-11-02 22:20:54,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,EED9E,Entregado,"13,8",0,0
2023-11-02 22:17:40,Tepuy Basics,Umbrella SH - San Vicent del Raspeig,ubereats,D40F2,Entregado,"26,7",0,0
2023-11-02 22:14:13,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,1B03F,Entregado,"31,4",0,"-13,9"
2023-11-02 22:04:56,Umbrella SH,Umbrella SH - Calle Linares,ubereats,DBFC9,Nuevo,"28,7",0,0
2023-11-02 22:04:55,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,17439,Entregado,"59,7",0,"-13,9"
2023-11-02 22:04:30,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,AMJA5BSJ,Entregado,"11,2",0,0
2023-11-02 22:01:58,Umbrella SH,Umbrella SH - Calle Linares,ubereats,1120D,Nuevo,"48,5",0,"-13,9"
2023-11-02 21:59:42,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,ASV9UL3S,Entregado,27,0,0
2023-11-02 21:59:25,Umbrella SH,Umbrella SH - Calle Linares,ubereats,1BDC0,Nuevo,"31,4",0,"-13,9"
2023-11-02 21:58:44,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,52695,Entregado,"16,2",0,0
2023-11-02 21:56:55,Umbrella SH,Umbrella SH - San Vicent del Raspeig,gloria-foods,777771074,Entregado,"42,5",0,0
2023-11-02 21:56:12,Tepuy Basics,Umbrella SH - Calle Linares,glovo,AB81UL22,Entregado,"15,3",0,-2
