createdtimeutc,location,orderid,channel,status,type,payment,paymentamount,deliverycost,discounttotal,tip,drivertip,subtotal,vat
2023-10-12 11:45:35,Alicante - Bazan,137457751,Just Eat,DELIVERED,DELIVERY,CARD,31.89,1.99,0.0,0.0,0.0,29.9,2.72
2023-10-11 19:35:38,Alicante - Bazan,137430634,Just Eat,DELIVERED,DELIVERY,CARD,35.39,1.99,0.0,0.0,0.0,33.4,3.04
2023-10-11 19:33:00,Alicante - Bazan,137432611,Just Eat,DELIVERED,DELIVERY,CARD,52.59,1.99,0.0,0.0,0.0,50.6,4.62
2023-10-09 19:19:40,Alicante - Bazan,137351414,Just Eat,DELIVERED,DELIVERY,CARD,17.39,1.99,0.0,0.0,0.0,15.4,1.4
2023-10-09 18:26:20,Alicante - Bazan,137344918,Just Eat,DELIVERED,DELIVERY,CARD,31.09,1.99,0.0,0.0,0.0,29.1,2.65
2023-10-09 13:15:00,Alicante - Bazan,137336556,Just Eat,DELIVERED,DELIVERY,CARD,17.39,1.99,0.0,0.0,0.0,15.4,1.4
2023-10-08 17:22:43,Alicante - Bazan,137281410,Just Eat,DELIVERED,DELIVERY,CARD,23.29,1.99,0.0,0.0,0.0,21.3,1.93
2023-10-07 19:48:52,Alicante - Bazan,137233002,Just Eat,DELIVERED,DELIVERY,CARD,45.09,1.99,0.0,0.0,0.0,43.1,3.93
2023-10-07 18:26:37,Alicante - Bazan,137210756,Just Eat,DELIVERED,DELIVERY,CARD,28.39,1.99,0.0,0.0,0.0,26.4,2.41
2023-10-07 12:53:57,Alicante - Bazan,137195974,Just Eat,DELIVERED,DELIVERY,CARD,22.19,1.99,0.0,0.0,0.0,20.2,1.83
2023-10-06 20:15:47,Alicante - Bazan,137170977,Just Eat,DELIVERED,DELIVERY,CARD,27.79,1.99,0.0,0.0,0.0,25.8,2.34
2023-10-05 20:35:01,Alicante - Bazan,137111640,Just Eat,DELIVERED,PICKUP,CARD,30.1,0.0,0.0,0.0,0.0,30.1,2.73
2023-10-05 20:17:36,Alicante - Bazan,137110319,Just Eat,DELIVERED,DELIVERY,CARD,35.29,1.99,0.0,0.0,0.0,33.3,3.02
2023-10-05 19:22:01,Alicante - Bazan,137103955,Just Eat,DELIVERED,DELIVERY,CARD,30.99,1.99,0.0,0.0,0.0,29.0,2.63
2023-10-04 20:50:49,Alicante - Periodista Rodolfo Salazar,137072257,Just Eat,DELIVERED,DELIVERY,CARD,89.79,1.99,0.0,0.0,0.0,87.8,8.02
2023-10-04 13:46:55,Alicante - Periodista Rodolfo Salazar,137046943,Just Eat,DELIVERED,DELIVERY,CARD,29.29,1.99,0.0,0.0,0.0,27.3,2.48
2023-10-03 19:13:58,Alicante - Periodista Rodolfo Salazar,137026252,Just Eat,DELIVERED,DELIVERY,CARD,32.89,1.99,0.0,0.0,0.0,30.9,2.81
2023-10-01 15:54:56,Alicante - Bazan,136925115,Just Eat,DELIVERED,DELIVERY,CARD,42.69,1.99,0.0,0.0,0.0,40.7,3.7
2023-10-01 13:54:36,Alicante - Bazan,136920156,Just Eat,DELIVERED,DELIVERY,CARD,20.89,1.99,0.0,0.0,0.0,18.9,1.73
2023-10-01 12:29:06,Alicante - Periodista Rodolfo Salazar,136909515,Just Eat,DELIVERED,DELIVERY,CARD,19.59,1.99,0.0,0.0,0.0,17.6,1.6
2023-10-01 11:55:37,Alicante - Periodista Rodolfo Salazar,136902245,Just Eat,DELIVERED,DELIVERY,CARD,40.19,1.99,0.0,0.0,0.0,38.2,3.47
