"Fecha","Marca","Locación","Canal","ID de la orden","Estado de la orden","Subtotal","Impuesto","Descuentos","Cargos por error en el pedido","Código de moneda"
"2023-10-27 23:31:36","Tepuy Basics","EMEA - SP - MAD - Tetuan","glovo","MVLCTJTF","Entregado","19,4","0","-3,88","0","EUR"
"2023-10-27 23:25:21","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AJ81WTWY","Entregado","36,2","0","-18,1","0","EUR"
"2023-10-27 23:20:08","Tepuy Basics","Goleta","glovo","ATX1AWRA","Entregado","10,9","0","0","0","EUR"
"2023-10-27 23:08:56","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BANK7BF9","Entregado","12,9","0","0","0","EUR"
"2023-10-27 23:06:48","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","ubereats","FE2BF","Entregado","18,1","1,65","0","0","EUR"
"2023-10-27 22:53:31","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","AGWCQ6UE","Entregado","40,4","0","0","0","EUR"
"2023-10-27 22:40:49","Tepuy Basics","Goleta","glovo","AW8LMTEA","Entregado","16,4","0","0","0","EUR"
"2023-10-27 22:28:07","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BZ1UUZDB","Entregado","9,4","0","0","0","EUR"
"2023-10-27 22:24:30","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","AJJT3EUJ","Entregado","64,4","0","0","0","EUR"
"2023-10-27 22:20:56","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BDMUJJRP","Entregado","12,9","0","0","0","EUR"
"2023-10-27 22:19:54","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","ACHEPGPU","Entregado","55,7","0","0","0","EUR"
"2023-10-27 21:57:39","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AH5Z5G1N","Entregado","63,5","0","0","0","EUR"
"2023-10-27 21:55:06","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","A61SPDTP","Entregado","23,7","0","0","0","EUR"
"2023-10-27 21:52:53","Tepuy Basics","Goleta","glovo","ANQAPTZQ","Entregado","32,2","0","0","0","EUR"
"2023-10-27 21:44:14","Tepuy Basics","Goleta","glovo","AZZET71X","Entregado","50,4","0","0","0","EUR"
"2023-10-27 21:36:24","Tepuy Basics","Goleta","glovo","APVALECE","Entregado","19,3","0","0","0","EUR"
"2023-10-27 21:25:53","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","A1XMBNGX","Entregado","14,9","0","0","0","EUR"
"2023-10-27 21:21:26","Tepuy Basics","Goleta","glovo","AF3DTVVT","Entregado","41,9","0","0","0","EUR"
"2023-10-27 21:10:24","Tepuy Basics","Goleta","ubereats","F6FB3","Entregado","12,6","1,15","0","0","EUR"
"2023-10-27 21:04:55","Tepuy Basics","Umbrella SH - Calle Linares","glovo","AEAGNW1L","Entregado","41,2","0","0","0","EUR"
"2023-10-27 21:02:16","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AM1HAMRP","Entregado","30","0","0","0","EUR"
"2023-10-27 20:59:43","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BAL8TXUR","Entregado","12,3","0","0","0","EUR"
"2023-10-27 20:57:23","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","ANS1GW7H","Entregado","46,5","0","-6","0","EUR"
"2023-10-27 20:55:43","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","0FDDC","Entregado","13,5","1,23","0","0","EUR"
"2023-10-27 20:54:57","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AGF51YPH","Entregado","35,5","0","0","0","EUR"
"2023-10-27 20:53:18","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BJE1FYW8","Entregado","39,6","0","0","0","EUR"
"2023-10-27 20:43:56","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","A0DB2","Entregado","27,3","2,48","0","0","EUR"
"2023-10-27 20:41:23","Tepuy Basics","Goleta","glovo","ANE1BL1W","Entregado","39,1","0","0","0","EUR"
"2023-10-27 20:39:55","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","ANXK7VMJ","Entregado","19,5","0","0","0","EUR"
"2023-10-27 20:38:14","Tepuy Burger","Tepuy Burger - Benidorm","ubereats","82079","Entregado","28,8","0","0","0","EUR"
"2023-10-27 20:33:17","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BGKMLEHB","Entregado","14,3","0","0","0","EUR"
"2023-10-27 20:18:50","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BPFAXYTZ","Entregado","14,9","0","0","0","EUR"
"2023-10-27 20:12:42","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","A6ZBZUFQ","Entregado","31,6","0","0","0","EUR"
"2023-10-27 20:06:04","Tepuy Basics","Goleta","glovo","AFLNECWA","Entregado","44,3","0","0","0","EUR"
"2023-10-27 19:12:43","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","AXNN1YW6","Entregado","25,8","0","-2,86","0","EUR"
